"method","target","year","donors_used","n_models","rmse","runtime_sec"
"G_XGBoost",1,2017,"2,52,3,4,53,5,54",7,3.59181655066267,0.22
"G_XGBoost",1,2018,"2,52,3,4,53,5,54",7,3.70247239627945,0.22
"G_XGBoost",2,2017,"1,3,4,52,5,6,53",7,4.75898205689203,0.22
"G_XGBoost",2,2018,"1,3,4,52,5,6,53",7,5.90867809015995,0.22
"G_XGBoost",3,2017,"4,2,5,1,6,8,7",7,3.31343104264421,0.21
"G_XGBoost",3,2018,"4,2,5,1,6,8,7",7,3.49828594508046,0.21
"G_XGBoost",4,2017,"3,5,6,2,8,7,1",7,3.26948275717819,0.25
"G_XGBoost",4,2018,"3,5,6,2,8,7,1",7,3.66589329164088,0.26
"G_XGBoost",5,2017,"4,6,8,3,7,2,9",7,3.29768179145549,0.2
"G_XGBoost",5,2018,"4,6,8,3,7,2,9",7,3.30562747774292,0.2
"G_XGBoost",6,2017,"8,7,5,4,3,9,10",7,2.84017433750678,0.29
"G_XGBoost",6,2018,"8,7,5,4,3,9,10",7,3.34408561609704,0.29
"G_XGBoost",7,2017,"8,6,5,9,10,4,3",7,3.11063387514532,0.35
"G_XGBoost",7,2018,"8,6,5,9,10,4,3",7,3.29206911443753,0.35
"G_XGBoost",8,2017,"6,7,5,4,9,10,3",7,2.32072710942873,0.32
"G_XGBoost",8,2018,"6,7,5,4,9,10,3",7,2.77581518809742,0.32
"G_XGBoost",9,2017,"10,11,7,8,12,6,13",7,2.72946188515393,0.340000000000001
"G_XGBoost",9,2018,"10,11,7,8,12,6,13",7,3.34559459719336,0.340000000000001
"G_XGBoost",10,2017,"9,11,7,12,8,6,13",7,4.15542425512784,0.35
"G_XGBoost",10,2018,"9,11,7,12,8,6,13",7,3.04393181336043,0.35
"G_XGBoost",11,2017,"12,10,9,13,23,7,8",7,3.2597914099226,0.34
"G_XGBoost",11,2018,"12,10,9,13,23,7,8",7,2.90347878476252,0.34
"G_XGBoost",12,2017,"13,11,23,10,9,24,26",7,3.06685277064764,0.34
"G_XGBoost",12,2018,"13,11,23,10,9,24,26",7,3.92449073935677,0.34
"G_XGBoost",13,2017,"12,23,11,24,26,10,9",7,2.49084117211922,0.340000000000001
"G_XGBoost",13,2018,"12,23,11,24,26,10,9",7,2.63390528768807,0.36
"G_XGBoost",14,2017,"25,24,26,27,23,28,15",7,3.15644076248535,0.359999999999999
"G_XGBoost",14,2018,"25,24,26,27,23,28,15",7,3.37792836558751,0.359999999999999
"G_XGBoost",15,2017,"16,30,29,17,28,14,27",7,2.4065762084342,0.34
"G_XGBoost",15,2018,"16,30,29,17,28,14,27",7,2.47130644203038,0.34
"G_XGBoost",16,2017,"15,17,30,29,18,32,33",7,2.66420189795061,0.369999999999999
"G_XGBoost",16,2018,"15,17,30,29,18,32,33",7,2.62373223794751,0.370000000000001
"G_XGBoost",17,2017,"18,16,19,15,33,30,20",7,5.08830119368161,0.309999999999999
"G_XGBoost",17,2018,"18,16,19,15,33,30,20",7,4.54252967936062,0.309999999999999
"G_XGBoost",18,2017,"19,17,20,33,16,21,15",7,2.63932315245882,0.33
"G_XGBoost",18,2018,"19,17,20,33,16,21,15",7,2.79942189258461,0.34
"G_XGBoost",19,2017,"18,20,17,21,33,22,16",7,2.4790476905373,0.35
"G_XGBoost",19,2018,"18,20,17,21,33,22,16",7,2.64780614338179,0.33
"G_XGBoost",20,2017,"19,21,18,22,17,33,16",7,2.46874341301553,0.309999999999999
"G_XGBoost",20,2018,"19,21,18,22,17,33,16",7,2.49034295728372,0.289999999999999
"G_XGBoost",21,2017,"22,20,19,18,33,17,50",7,3.44043502704958,0.299999999999999
"G_XGBoost",21,2018,"22,20,19,18,33,17,50",7,4.01043597330646,0.31
"G_XGBoost",22,2017,"21,20,19,18,33,17,51",7,4.26656929065497,0.299999999999999
"G_XGBoost",22,2018,"21,20,19,18,33,17,51",7,2.86591638598051,0.299999999999999
"G_XGBoost",23,2017,"24,26,13,25,12,14,27",7,3.42441826397577,0.33
"G_XGBoost",23,2018,"24,26,13,25,12,14,27",7,3.29663800209136,0.33
"G_XGBoost",24,2017,"26,23,25,14,27,13,12",7,3.05216864679489,0.33
"G_XGBoost",24,2018,"26,23,25,14,27,13,12",7,3.00247452891683,0.32
"G_XGBoost",25,2017,"24,14,27,26,23,28,29",7,6.504853323798,0.34
"G_XGBoost",25,2018,"24,14,27,26,23,28,29",7,4.25861573431123,0.32
"G_XGBoost",26,2017,"24,23,25,27,14,13,28",7,2.91040531231719,0.33
"G_XGBoost",26,2018,"24,23,25,27,14,13,28",7,3.44944661583543,0.33
"G_XGBoost",27,2017,"28,25,26,29,24,14,31",7,2.90881548913369,0.34
"G_XGBoost",27,2018,"28,25,26,29,24,14,31",7,2.85519834612762,0.329999999999998
"G_XGBoost",28,2017,"27,29,31,25,30,15,14",7,2.69315717543905,0.330000000000002
"G_XGBoost",28,2018,"27,29,31,25,30,15,14",7,3.30227430031222,0.350000000000001
"G_XGBoost",29,2017,"28,31,30,32,27,15,16",7,2.60097465650927,0.460000000000001
"G_XGBoost",29,2018,"28,31,30,32,27,15,16",7,2.94455052959449,0.460000000000001
"G_XGBoost",30,2017,"29,32,31,15,16,28,33",7,2.46172481690458,0.630000000000003
"G_XGBoost",30,2018,"29,32,31,15,16,28,33",7,2.7374509488683,0.640000000000004
"G_XGBoost",31,2017,"29,32,28,30,27,15,16",7,2.95650831473833,0.439999999999998
"G_XGBoost",31,2018,"29,32,28,30,27,15,16",7,3.33880864136017,0.439999999999998
"G_XGBoost",32,2017,"30,31,29,33,28,16,15",7,2.75341484820837,0.649999999999999
"G_XGBoost",32,2018,"30,31,29,33,28,16,15",7,3.41975204504081,0.629999999999999
"G_XGBoost",33,2017,"32,18,30,19,17,16,20",7,3.07479416099991,0.439999999999998
"G_XGBoost",33,2018,"32,18,30,19,17,16,20",7,2.98026473602297,0.439999999999998
"G_XGBoost",34,2017,"35,26,27,36,23,24,25",7,2.74543819528952,0.599999999999998
"G_XGBoost",34,2018,"35,26,27,36,23,24,25",7,4.69011802174033,0.59
"G_XGBoost",35,2017,"36,37,34,31,28,27,29",7,3.06028250467895,0.550000000000001
"G_XGBoost",35,2018,"36,37,34,31,28,27,29",7,4.07284250893746,0.530000000000001
"G_XGBoost",36,2017,"37,35,34,31,28,29,27",7,2.72183739328299,0.43
"G_XGBoost",36,2018,"37,35,34,31,28,29,27",7,3.57625882138214,0.449999999999999
"G_XGBoost",37,2017,"36,35,31,34,32,28,29",7,4.7337980884345,0.59
"G_XGBoost",37,2018,"36,35,31,34,32,28,29",7,3.95966534879007,0.600000000000001
"G_XGBoost",38,2017,"39,41,40,43,42,44,37",7,5.61760964405741,0.449999999999999
"G_XGBoost",38,2018,"39,41,40,43,42,44,37",7,6.5912782769032,0.459999999999997
"G_XGBoost",39,2017,"38,41,40,42,43,44,37",7,3.82293159171779,0.550000000000001
"G_XGBoost",39,2018,"38,41,40,42,43,44,37",7,6.4290176180107,0.550000000000001
"G_XGBoost",40,2017,"41,39,42,38,43,44,37",7,4.68417148488106,0.579999999999998
"G_XGBoost",40,2018,"41,39,42,38,43,44,37",7,6.08606402151733,0.579999999999998
"G_XGBoost",41,2017,"40,42,39,43,44,38,37",7,4.64706061868596,0.469999999999999
"G_XGBoost",41,2018,"40,42,39,43,44,38,37",7,4.70825492814549,0.469999999999999
"G_XGBoost",42,2017,"43,41,44,40,39,38,33",7,3.03753861994334,0.579999999999998
"G_XGBoost",42,2018,"43,41,44,40,39,38,33",7,3.23598419782716,0.579999999999998
"G_XGBoost",43,2017,"44,42,41,39,40,38,33",7,3.1666602699636,0.560000000000002
"G_XGBoost",43,2018,"44,42,41,39,40,38,33",7,4.86048444435429,0.57
"G_XGBoost",44,2017,"43,42,41,39,40,38,33",7,5.754108333052,0.420000000000002
"G_XGBoost",44,2018,"43,42,41,39,40,38,33",7,6.55902900151741,0.43
"G_XGBoost",45,2017,"46,13,12,23,47,11,24",7,3.18022367652262,0.580000000000005
"G_XGBoost",45,2018,"46,13,12,23,47,11,24",7,3.2499116084074,0.580000000000005
"G_XGBoost",46,2017,"47,45,48,14,24,23,25",7,4.10380521283505,0.579999999999998
"G_XGBoost",46,2018,"47,45,48,14,24,23,25",7,3.2874649429173,0.57
"G_XGBoost",47,2017,"48,46,14,45,15,49,25",7,2.91962272009923,0.439999999999998
"G_XGBoost",48,2017,"47,49,46,50,15,16,14",7,3.66791560577076,0.600000000000009
"G_XGBoost",48,2018,"47,49,46,50,15,16,14",7,4.22174167896307,0.590000000000003
"G_XGBoost",49,2017,"50,51,48,17,18,16,19",7,5.39276658954353,0.579999999999998
"G_XGBoost",49,2018,"50,51,48,17,18,16,19",7,5.25047933989942,0.579999999999998
"G_XGBoost",50,2017,"49,51,48,17,18,19,20",7,2.81519199912224,0.479999999999997
"G_XGBoost",50,2018,"49,51,48,17,18,19,20",7,2.86045795849345,0.479999999999997
"G_XGBoost",51,2017,"50,49,19,48,18,20,17",7,3.17382011618656,0.990000000000009
"G_XGBoost",52,2017,"1,53,2,54,3,59,60",7,3.96959100893215,0.830000000000005
"G_XGBoost",52,2018,"1,53,2,54,3,59,60",7,5.01952749142998,0.830000000000005
"G_XGBoost",53,2017,"54,52,55,1,59,58,60",7,6.28224325717108,0.539999999999999
"G_XGBoost",54,2017,"53,55,58,52,59,56,57",7,4.75468319711071,0.600000000000001
"G_XGBoost",54,2018,"53,55,58,52,59,56,57",7,4.54394224506132,0.620000000000005
"G_XGBoost",55,2017,"54,56,58,53,57,59,52",7,3.94159863365421,0.5
"G_XGBoost",55,2018,"54,56,58,53,57,59,52",7,5.25821696180716,0.5
"G_XGBoost",56,2017,"57,55,58,54,62,63,61",7,4.13871824492735,0.609999999999999
"G_XGBoost",56,2018,"57,55,58,54,62,63,61",7,4.56603499127878,0.589999999999996
"G_XGBoost",57,2017,"56,58,55,54,59,53,60",7,3.16259542831323,0.640000000000001
"G_XGBoost",57,2018,"56,58,55,54,59,53,60",7,3.79619658929631,0.629999999999995
"G_XGBoost",58,2017,"59,57,55,54,60,56,53",7,4.84276396814474,0.390000000000001
"G_XGBoost",58,2018,"59,57,55,54,60,56,53",7,4.07300108662223,0.390000000000001
"G_XGBoost",59,2017,"60,58,53,54,52,55,57",7,5.37114960732644,0.619999999999997
"G_XGBoost",59,2018,"60,58,53,54,52,55,57",7,3.95034444472131,0.630000000000003
"G_XGBoost",60,2017,"59,58,53,52,54,1,55",7,3.74517804728853,0.499999999999993
"G_XGBoost",60,2018,"59,58,53,52,54,1,55",7,4.45479467556332,0.479999999999997
"G_XGBoost",61,2017,"62,66,65,63,64,56,55",7,3.14674266658278,0.530000000000001
"G_XGBoost",62,2017,"61,63,65,64,66,56,55",7,4.40901897808694,0.629999999999995
"G_XGBoost",62,2018,"61,63,65,64,66,56,55",7,3.34423251133383,0.640000000000001
"G_XGBoost",63,2017,"62,64,65,61,66,56,57",7,3.94530668462279,0.310000000000002
"G_XGBoost",63,2018,"62,64,65,61,66,56,57",7,3.94360979324383,0.329999999999998
"G_XGBoost",64,2017,"65,63,66,62,61,56,55",7,4.04037551350996,0.389999999999993
"G_XGBoost",64,2018,"65,63,66,62,61,56,55",7,5.2910401114644,0.389999999999993
"G_XGBoost",65,2017,"66,64,62,63,61,56,55",7,4.14867588185568,0.619999999999997
"G_XGBoost",65,2018,"66,64,62,63,61,56,55",7,5.0304234484069,0.619999999999997
"G_XGBoost",66,2017,"65,64,62,61,63,56,55",7,4.60747238359069,0.449999999999996
"G_XGBoost",66,2018,"65,64,62,61,63,56,55",7,4.26841758705199,0.449999999999996
