method,target,year,rmse,runtime_sec
P_Binning,1,2017,4.77910125050259,1.324
P_Binning,2,2017,5.64193878637201,1.232
P_Binning,3,2017,4.20030735469907,1.20399999999999
P_Binning,4,2017,4.51384748879469,1.224
P_Binning,5,2017,3.79975138447706,1.203
P_Binning,6,2017,3.28808751634801,1.214
P_Binning,7,2017,4.52558922705136,1.238
P_Binning,8,2017,3.92020627080307,1.211
P_Binning,9,2017,4.50527691572087,1.191
P_Binning,10,2017,5.1586096032929,1.173
P_Binning,11,2017,5.40558838850427,1.213
P_Binning,12,2017,4.28885329522855,1.216
P_Binning,13,2017,4.14777582603696,1.221
P_Binning,14,2017,4.19178200280669,1.25700000000001
P_Binning,15,2017,3.49460053780506,1.21299999999999
P_Binning,16,2017,3.05209306064467,1.17999999999999
P_Binning,17,2017,6.67509356285242,1.212
P_Binning,18,2017,3.31092228141128,1.245
P_Binning,19,2017,3.20288369830014,1.22
P_Binning,20,2017,3.89000782812311,1.20700000000001
P_Binning,21,2017,3.28985178246784,1.202
P_Binning,22,2017,4.40510608394266,1.248
P_Binning,23,2017,4.85458282963584,1.19499999999999
P_Binning,24,2017,4.13508526631271,1.176
P_Binning,25,2017,5.50824925875104,1.199
P_Binning,26,2017,3.82221932194224,1.173
P_Binning,27,2017,4.33171585861527,1.23400000000001
P_Binning,28,2017,3.80990969146259,1.199
P_Binning,29,2017,4.01297999288332,1.217
P_Binning,30,2017,3.66282776159027,1.17700000000001
P_Binning,31,2017,4.07049682873954,1.23099999999999
P_Binning,32,2017,3.47914500754538,1.19
P_Binning,33,2017,4.9174161819549,1.194
P_Binning,34,2017,4.0308314624471,1.241
P_Binning,35,2017,3.82266795174486,1.238
P_Binning,36,2017,3.90988159846996,1.212
P_Binning,37,2017,5.53846805344897,1.173
P_Binning,38,2017,4.34472623581449,1.256
P_Binning,39,2017,3.55870104751318,1.187
P_Binning,40,2017,4.24701039035133,1.209
P_Binning,41,2017,5.39129406175883,1.214
P_Binning,42,2017,3.46076208818627,1.18599999999999
P_Binning,43,2017,3.16385634012568,1.194
P_Binning,44,2017,5.74664820851918,1.17699999999999
P_Binning,45,2017,4.13169602911845,1.221
P_Binning,46,2017,4.50797689767454,1.178
P_Binning,47,2017,3.3633339452886,1.209
P_Binning,48,2017,4.36176921347448,1.176
P_Binning,49,2017,4.57411800093573,1.20700000000001
P_Binning,50,2017,3.92127888709804,1.23700000000001
P_Binning,51,2017,3.85470202057336,1.25
P_Binning,52,2017,4.34897036651576,1.2
P_Binning,53,2017,4.23929131454536,1.23599999999999
P_Binning,54,2017,7.09282764794008,1.197
P_Binning,55,2017,5.06334209096693,1.232
P_Binning,56,2017,4.51163636203486,1.25
P_Binning,57,2017,5.36713366684821,1.194
P_Binning,58,2017,8.22994091580596,1.20699999999999
P_Binning,59,2017,8.85434897826175,1.18899999999999
P_Binning,60,2017,5.05849125154467,1.223
P_Binning,61,2017,4.6892545306489,1.181
P_Binning,62,2017,6.52524916079238,1.218
P_Binning,63,2017,4.64221440153517,1.176
P_Binning,64,2017,5.80726796352944,1.193
P_Binning,65,2017,5.47486687391273,1.23900000000002
P_Binning,66,2017,5.25061072312625,1.21199999999999
P_Binning,1,2018,4.94860687400449,1.19300000000001
P_Binning,2,2018,6.59913895724022,1.17299999999997
P_Binning,3,2018,4.49813586551966,1.21000000000001
P_Binning,4,2018,5.49698121327566,1.18000000000001
P_Binning,5,2018,4.13987485690012,1.19200000000001
P_Binning,6,2018,3.58405085091666,1.17400000000001
P_Binning,7,2018,4.85637199572049,1.19899999999998
P_Binning,8,2018,4.09139359116893,1.172
P_Binning,9,2018,5.23884910637902,1.26100000000002
P_Binning,10,2018,4.90568295110039,1.22200000000001
P_Binning,11,2018,5.27000704952035,1.196
P_Binning,12,2018,5.2942589308643,1.17600000000002
P_Binning,13,2018,4.85775666882518,1.197
P_Binning,14,2018,4.67267303947629,1.17500000000001
P_Binning,15,2018,3.44546628324298,1.19800000000001
P_Binning,16,2018,3.18347125472873,1.18899999999999
P_Binning,17,2018,6.22144042586687,1.17599999999999
P_Binning,18,2018,2.96228164063941,1.21700000000001
P_Binning,19,2018,4.16126484621072,1.197
P_Binning,20,2018,3.44673506292113,1.19400000000002
P_Binning,21,2018,3.29831225032414,1.179
P_Binning,22,2018,2.96686599427533,1.21799999999999
P_Binning,23,2018,4.90103282932175,1.191
P_Binning,24,2018,4.09759983272512,1.178
P_Binning,25,2018,3.07319911634579,1.21299999999999
P_Binning,26,2018,4.45495017029928,1.17700000000002
P_Binning,27,2018,4.31315187105464,1.19300000000001
P_Binning,28,2018,4.14640500563192,1.17599999999999
P_Binning,29,2018,4.12684845886257,1.197
P_Binning,30,2018,3.25514108429284,1.17500000000001
P_Binning,31,2018,4.2709615225973,1.22200000000001
P_Binning,32,2018,4.29457926122925,1.17699999999999
P_Binning,33,2018,4.62171084153421,1.19999999999999
P_Binning,34,2018,5.59187035623355,1.179
P_Binning,35,2018,4.1719354698561,1.19800000000001
P_Binning,36,2018,4.20829575727872,1.17699999999999
P_Binning,37,2018,3.90848100128187,1.20500000000001
P_Binning,38,2018,5.33204362242101,1.18700000000001
P_Binning,39,2018,5.29802347780682,1.221
P_Binning,40,2018,5.34539975566919,1.196
P_Binning,41,2018,4.94713657091011,1.17500000000001
P_Binning,42,2018,3.55942676332699,1.221
P_Binning,43,2018,4.59395397923279,1.17999999999998
P_Binning,44,2018,6.13846864905957,1.208
P_Binning,45,2018,4.13743478807194,1.19299999999998
P_Binning,46,2018,3.75673052927466,1.17699999999999
P_Binning,48,2018,4.88504269690793,1.19400000000002
P_Binning,49,2018,4.9298255998809,1.18099999999998
P_Binning,50,2018,3.50904498885215,1.20899999999997
P_Binning,52,2018,4.59641525987517,1.17999999999998
P_Binning,54,2018,5.95541164878304,1.22300000000001
P_Binning,55,2018,3.74351615552928,1.17500000000001
P_Binning,56,2018,4.13928529449132,1.19300000000001
P_Binning,57,2018,4.1507749650604,1.19300000000001
P_Binning,58,2018,7.17668776680464,1.17599999999999
P_Binning,59,2018,6.54580221390141,1.19400000000002
P_Binning,60,2018,4.59685658290457,1.17399999999998
P_Binning,62,2018,4.63782427758251,1.19200000000001
P_Binning,63,2018,4.26778757776424,1.196
P_Binning,64,2018,7.34216529475602,1.17400000000001
P_Binning,65,2018,6.78542746903325,1.19500000000002
P_Binning,66,2018,4.72891312380989,1.17400000000001
